year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,mapped_Category
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1936,1937,9,DIRECTING,DIRECTING,Frank Capra,Mr. Deeds Goes to Town,TRUE,Directing
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1936,1937,9,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,The Great Ziegfeld,TRUE,Best Picture
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1936,1937,9,WRITING (Screenplay),WRITING (Adapted Screenplay),Pierre Collings/Sheridan Gibney,The Story of Louis Pasteur,TRUE,Writing (Adapted Screenplay)
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1937,1938,10,ACTOR,ACTOR IN A LEADING ROLE,Spencer Tracy,Captains Courageous,TRUE,Actor in a Leading Role
,,,,,,,,
,,,,,,,,
1937,1938,10,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Joseph Schildkraut,The Life of Emile Zola,TRUE,Actor in a Supporting Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1937,1938,10,ACTRESS,ACTRESS IN A LEADING ROLE,Luise Rainer,The Good Earth,TRUE,Actress in a Leading Role
,,,,,,,,
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Alice Brady,In Old Chicago,TRUE,Actress in a Supporting Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
