year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,mapped_Category.
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Paramount Famous Lasky,The Love Parade,FALSE,Best Picture
1929,1930,3,SOUND RECORDING,SOUND RECORDING,Metro-Goldwyn-Mayer/Douglas Shearer,The Big House,TRUE,Other
1929,1930,3,SOUND RECORDING,SOUND RECORDING,RKO Radio/John Tribby,The Case of Sergeant Grischa,FALSE,Other
1929,1930,3,SOUND RECORDING,SOUND RECORDING,Paramount Famous Lasky/Franklin Hansen,The Love Parade,FALSE,Other
1929,1930,3,SOUND RECORDING,SOUND RECORDING,United Artists/Oscar Lagerstrom,Raffles,FALSE,Other
1929,1930,3,SOUND RECORDING,SOUND RECORDING,First National/George Groves,Song of the Flame,FALSE,Other
1929,1930,3,WRITING,WRITING (Adapted Screenplay),George Abbott/Maxwell Anderson/Del Andrews,All Quiet on the Western Front,FALSE,Writing (Adapted Screenplay)
1929,1930,3,WRITING,WRITING (Adapted Screenplay),Frances Marion,The Big House,TRUE,Writing (Adapted Screenplay)
1929,1930,3,WRITING,WRITING (Adapted Screenplay),Julian Josephson,Disraeli,FALSE,Writing (Adapted Screenplay)
1929,1930,3,WRITING,WRITING (Adapted Screenplay),John Meehan,The Divorcee,FALSE,Writing (Adapted Screenplay)
1929,1930,3,WRITING,WRITING (Adapted Screenplay),Howard Estabrook,Street of Chance,FALSE,Writing (Adapted Screenplay)
1930,1931,4,ACTOR,ACTOR IN A LEADING ROLE,Lionel Barrymore,A Free Soul,TRUE,Actor in a Leading Role
1930,1931,4,ACTOR,ACTOR IN A LEADING ROLE,Jackie Cooper,Skippy,FALSE,Actor in a Leading Role
1930,1931,4,ACTOR,ACTOR IN A LEADING ROLE,Richard Dix,Cimarron,FALSE,Actor in a Leading Role
1930,1931,4,ACTOR,ACTOR IN A LEADING ROLE,Fredric March,The Royal Family of Broadway,FALSE,Actor in a Leading Role
1930,1931,4,ACTOR,ACTOR IN A LEADING ROLE,Adolphe Menjou,The Front Page,FALSE,Actor in a Leading Role
1930,1931,4,ACTRESS,ACTRESS IN A LEADING ROLE,Marlene Dietrich,Morocco,FALSE,Actress in a Leading Role
1930,1931,4,ACTRESS,ACTRESS IN A LEADING ROLE,Marie Dressler,Min and Bill,TRUE,Actress in a Leading Role
1930,1931,4,ACTRESS,ACTRESS IN A LEADING ROLE,Irene Dunne,Cimarron,FALSE,Actress in a Leading Role
1930,1931,4,ACTRESS,ACTRESS IN A LEADING ROLE,Ann Harding,Holiday,FALSE,Actress in a Leading Role
1930,1931,4,ACTRESS,ACTRESS IN A LEADING ROLE,Norma Shearer,A Free Soul,FALSE,Actress in a Leading Role
1930,1931,4,ART DIRECTION,ART DIRECTION,Max Rée,Cimarron,TRUE,Other
1930,1931,4,ART DIRECTION,ART DIRECTION,Stephen Goosson/Ralph Hammeras,Just Imagine,FALSE,Other
1930,1931,4,ART DIRECTION,ART DIRECTION,Hans Dreier,Morocco,FALSE,Other
1930,1931,4,ART DIRECTION,ART DIRECTION,Anton Grot,Svengali,FALSE,Other
1930,1931,4,ART DIRECTION,ART DIRECTION,Richard Day,Whoopee!,FALSE,Other
1930,1931,4,CINEMATOGRAPHY,CINEMATOGRAPHY,Edward Cronjager,Cimarron,FALSE,Other
1930,1931,4,CINEMATOGRAPHY,CINEMATOGRAPHY,Lee Garmes,Morocco,FALSE,Other
1930,1931,4,CINEMATOGRAPHY,CINEMATOGRAPHY,Charles Lang,The Right to Love,FALSE,Other
1930,1931,4,CINEMATOGRAPHY,CINEMATOGRAPHY,"Barney ""Chick"" McGill",Svengali,FALSE,Other
1930,1931,4,CINEMATOGRAPHY,CINEMATOGRAPHY,Floyd Crosby,Tabu,TRUE,Other
1930,1931,4,DIRECTING,DIRECTING,Wesley Ruggles,Cimarron,FALSE,Directing
1930,1931,4,DIRECTING,DIRECTING,Clarence Brown,A Free Soul,FALSE,Directing
1930,1931,4,DIRECTING,DIRECTING,Lewis Milestone,The Front Page,FALSE,Directing
1930,1931,4,DIRECTING,DIRECTING,Josef Von Sternberg,Morocco,FALSE,Directing
1930,1931,4,DIRECTING,DIRECTING,Norman Taurog,Skippy,TRUE,Directing
1930,1931,4,OUTSTANDING PRODUCTION,BEST PICTURE,RKO Radio,Cimarron,TRUE,Best Picture
1930,1931,4,OUTSTANDING PRODUCTION,BEST PICTURE,Fox,East Lynne,FALSE,Best Picture
1930,1931,4,OUTSTANDING PRODUCTION,BEST PICTURE,The Caddo Company,The Front Page,FALSE,Best Picture
1930,1931,4,OUTSTANDING PRODUCTION,BEST PICTURE,Paramount Publix,Skippy,FALSE,Best Picture
1930,1931,4,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,Trader Horn,FALSE,Best Picture
1930,1931,4,SOUND RECORDING,SOUND RECORDING,Samuel Goldwyn - United Artists,,FALSE,Other
1930,1931,4,SOUND RECORDING,SOUND RECORDING,Metro-Goldwyn-Mayer,,FALSE,Other
1930,1931,4,SOUND RECORDING,SOUND RECORDING,Paramount Publix,,TRUE,Other
1930,1931,4,SOUND RECORDING,SOUND RECORDING,RKO Radio,,FALSE,Other
1930,1931,4,WRITING (Adaptation),WRITING (Adapted Screenplay),Howard Estabrook,Cimarron,TRUE,Writing (Adapted Screenplay)
1930,1931,4,WRITING (Adaptation),WRITING (Adapted Screenplay),Seton I. Miller/Fred Niblo Jr.,The Criminal Code,FALSE,Writing (Adapted Screenplay)
1930,1931,4,WRITING (Adaptation),WRITING (Adapted Screenplay),Horace Jackson,Holiday,FALSE,Writing (Adapted Screenplay)
1930,1931,4,WRITING (Adaptation),WRITING (Adapted Screenplay),Francis Faragoh/Robert N. Lee,Little Caesar,FALSE,Writing (Adapted Screenplay)
1930,1931,4,WRITING (Adaptation),WRITING (Adapted Screenplay),Joseph L. Mankiewicz/Sam Mintz,Skippy,FALSE,Writing (Adapted Screenplay)
1930,1931,4,WRITING (Original Story),WRITING (Original Story),John Monk Saunders,The Dawn Patrol,TRUE,Other
1930,1931,4,WRITING (Original Story),WRITING (Original Story),Rowland Brown,The Doorway to Hell,FALSE,Other
1930,1931,4,WRITING (Original Story),WRITING (Original Story),Harry d'Abbadie d'Arrast/Douglas Doty/Donald Ogden Stewart,Laughter,FALSE,Other
